timestep,reward
57,0.72
2503,0.24
4922,0.4
7412,0.4
9871,0.36
12206,0.3
14676,0.2
16988,0.42
19483,0.28
21912,0.66
24245,0.86
26768,0.78
29238,0.78
31611,0.64
34000,0.6
36372,0.74
38835,0.68
41267,0.8
43767,0.68
46135,0.54
48687,0.72
51146,0.74
53751,0.74
56323,0.78
58829,0.6
61236,0.64
63672,0.66
66065,0.62
68472,0.7
70959,0.6
