timestep,reward
72,0.52
3294,0.54
6441,0.5
9763,0.52
13033,0.64
16203,0.58
19408,0.58
22774,0.66
25980,0.54
29235,0.62
32563,0.5
35847,0.58
39073,0.58
42229,0.56
45394,0.62
48662,0.6
51901,0.52
55298,0.48
58585,0.52
61954,0.44
65202,0.46
68687,0.62
71974,0.42
75402,0.52
78905,0.26
82251,0.3
85689,0.64
89072,0.58
92581,0.44
95934,0.22
