timestep,reward
57,0.42
2602,0.58
5116,0.56
7499,0.5
9929,0.66
12336,0.5
14811,0.44
17083,0.54
19547,0.4
21994,0.52
24535,0.54
26982,0.48
29455,0.38
31956,0.38
34351,0.52
36787,0.42
39366,0.46
41846,0.4
44321,0.52
46675,0.58
49232,0.42
51578,0.54
53979,0.62
56477,0.44
58974,0.42
61504,0.58
63855,0.52
66289,0.38
68749,0.56
71171,0.54
