timestep,reward
57,0.12
2447,0.12
4943,0.18
7364,0.08
9780,0.08
12264,0.14
14742,0.14
17006,0.18
19436,0.2
21871,0.12
24320,0.16
26797,0.12
29157,0.2
31522,0.18
33911,0.14
36395,0.14
38808,0.2
41313,0.18
43811,0.1
46263,0.26
48528,0.14
50933,0.1
53408,0.22
55889,0.24
58421,0.2
60921,0.1
63262,0.22
65702,0.24
68120,0.12
70560,0.1
72992,0.1
75450,0.14
77897,0.2
80297,0.1
82604,0.24
85019,0.2
87347,0.2
89841,0.1
92260,0.12
94824,0.12
97332,0.12
99821,0.12
102205,0.12
104614,0.1
107071,0.16
109537,0.18
111991,0.1
114476,0.12
116981,0.02
119377,0.06
121772,0.04
124347,0.14
126807,0.14
129375,0.14
131862,0.16
134367,0.16
136928,0.18
139314,0.18
141807,0.14
144407,0.12
146853,0.1
149399,0.1
151924,0.14
154465,0.18
156947,0.16
159470,0.16
162019,0.1
164471,0.1
167053,0.14
169496,0.06
171976,0.08
174495,0.16
176929,0.08
179407,0.08
181768,0.06
184182,0.16
186781,0.14
189208,0.08
191652,0.04
193996,0.1
196493,0.06
198842,0.08
201338,0.12
203840,0.08
206366,0.14
208745,0.14
211290,0.1
213813,0.14
216227,0.06
218815,0.04
221222,0.08
223816,0.1
226324,0.1
228897,0.12
231376,0.08
233796,0.16
236298,0.04
238794,0.1
241401,0.08
243862,0.08
