timestep,reward
53,0.39
4954,0.41
9883,0.37
14753,0.49
19260,0.38
23991,0.45
28778,0.32
33462,0.39
38299,0.24
43245,0.35
48080,0.34
52929,0.24
57662,0.26
62548,0.31
67546,0.33
72547,0.28
77572,0.25
82320,0.21
87198,0.18
92136,0.26
